,main_category,word,value,tag
1385,cat1,élevé,1,ADJ
1384,cat2,configuration,1,NOUN
1259,cat1,misterfly,1,ADJ
1261,cat1,empêche,1,VERB
1381,cat2,😱,1,SPACE
1380,cat1,jl,1,PRON
1262,cat2,désorganisation,1,NOUN
1378,cat1,tasser,1,VERB
1377,cat1,œil,1,NOUN
1375,cat1,livréen,1,NOUN
1366,cat1,couter,1,VERB
1374,cat2,dispenser,1,VERB
1373,cat1,einelh,1,NOUN
1372,cat2,jarmon,1,PROPN
1264,cat1,dissuader,1,VERB
1265,cat1,troisième,1,ADJ
1266,cat1,boire,1,VERB
1371,cat1,câbl,1,PROPN
1267,cat1,loin,1,ADV
1369,cat2,est-elle,1,NOUN
1368,cat2,troué,1,VERB
1367,cat1,méne,1,VERB
1343,cat2,contenat,1,NOUN
1342,cat1,raquette,1,VERB
1341,cat2,futur,1,ADJ
1303,cat2,auprès,1,ADV
1312,cat1,article,1,NOUN
1311,cat2,compromis,1,NUM
1281,cat2,pensai,1,ADJ
1309,cat2,valable,1,ADJ
1282,cat2,descente,1,NOUN
1284,cat1,cadre,1,VERB
1307,cat1,pourtant,1,ADV
1285,cat1,👎,1,NOUN
1286,cat1,avoue,1,VERB
1305,cat1,quasi,1,NUM
1304,cat1,expédier,1,NOUN
1302,cat1,processus,1,NOUN
1280,cat2,folie,1,VERB
1301,cat2,généreusement,1,VERB
1300,cat2,paix,1,NOUN
1288,cat1,déporter,1,VERB
1299,cat2,hortense,1,NOUN
1298,cat2,rétractation,1,NOUN
1297,cat1,patientez,1,VERB
1289,cat2,essai,1,PROPN
1290,cat2,endommagé,1,VERB
1296,cat2,statut,1,NOUN
1295,cat1,mériter,1,VERB
1291,cat1,rapidement,1,ADV
1313,cat2,mémorable,1,ADJ
1314,cat2,bien-sûr,1,NOUN
1340,cat2,bottine,1,NOUN
1328,cat1,evidemment,1,ADV
1339,cat2,établir,1,VERB
1338,cat2,vient,1,VERB
1275,cat1,galère,1,ADJ
1336,cat2,oreille,1,NOUN
1335,cat2,peugeot,1,ADJ
1334,cat2,endure,1,NOUN
1333,cat2,incomptence,1,NOUN
1332,cat1,oublier,1,VERB
1331,cat1,bouger,1,ADV
1330,cat1,patron,1,NOUN
1329,cat2,desperemer,1,VERB
1277,cat2,dé-confinement,1,NOUN
1315,cat1,mort,1,NOUN
1327,cat1,serieux,1,ADJ
1326,cat1,alerte,1,NOUN
1325,cat1,alando,1,PROPN
1324,cat2,fâcher,1,VERB
1322,cat1,confirme,1,NOUN
1278,cat1,prudent,1,NOUN
1320,cat2,contenir,1,VERB
1319,cat1,tête,1,NOUN
1318,cat2,téléphoniquement,1,ADV
1279,cat1,dégoûtent,1,ADV
1316,cat1,déboire,1,VERB
1387,cat1,sanitaire,1,ADJ
1389,cat1,superdry,1,NOUN
1225,cat2,sonner,1,VERB
1390,cat2,bordeauxpender,1,VERB
1453,cat2,bilan,1,NOUN
1452,cat2,fervent,1,VERB
1236,cat1,couleur,1,NOUN
1451,cat2,habituellement,1,ADV
1450,cat2,abimés,1,VERB
1237,cat1,persil,1,NOUN
1449,cat2,cdiscount,1,ADV
1448,cat2,print,1,NOUN
1447,cat2,judiciaire,1,ADJ
1446,cat2,signalé,1,NOUN
1445,cat2,procéder,1,VERB
1238,cat1,lettre,1,NOUN
1443,cat1,vif,1,NOUN
1442,cat1,entièrement,1,ADV
1239,cat1,arranger,1,VERB
1440,cat2,carte,1,NOUN
1439,cat1,purement,1,ADV
1438,cat2,litige,1,NOUN
1437,cat2,sterile,1,NOUN
1240,cat1,initial,1,ADJ
1436,cat2,-vente,1,ADJ
1435,cat2,grau,1,NOUN
1241,cat1,jusqu,1,PROPN
1434,cat2,présentée,1,NOUN
1433,cat2,bonjourvou,1,VERB
1454,cat1,promotion,1,NOUN
1455,cat1,spécifier,1,VERB
1456,cat1,recevoit,1,NOUN
1467,cat2,venise,1,NOUN
1474,cat2,rigide,1,ADJ
1226,cat1,fissurer,1,VERB
1473,cat2,center,1,VERB
1472,cat2,livaison,1,NOUN
1471,cat2,confirmant,1,VERB
1470,cat2,dédommagement,1,VERB
1469,cat1,protéger,1,VERB
1292,cat1,confition,1,NOUN
1230,cat1,massif,1,NOUN
1468,cat1,pur,1,NOUN
1231,cat2,habiller,1,VERB
1466,cat1,piteux,1,ADJ
1235,cat1,chien,1,NOUN
1465,cat2,associer,1,NOUN
1464,cat2,nommer,1,VERB
1463,cat1,ruptur,1,VERB
1232,cat1,bouton,1,NOUN
1462,cat2,escrot,1,ADJ
1461,cat1,rembrouse,1,ADJ
1460,cat2,interdire,1,ADJ
1459,cat1,astérix,1,ADJ
1234,cat1,pari,1,VERB
1458,cat2,participe,1,NOUN
1457,cat2,sinon,1,VERB
1242,cat1,recu,1,NOUN
1432,cat1,changer,1,VERB
